"participant_id","comments","stimulus_id","n","utterance","response"
"participant2","","S10-203",1,"C",0
"participant2","","S10-203",1,"A > C",0
"participant2","","S10-203",1,"C > A",0
"participant2","","S83-1609",3.77,"A",0.26525198938992
"participant2","","S83-1609",3.77,"C",0.26525198938992
"participant2","","S83-1609",3.77,"A > C",0.204244031830239
"participant2","","S83-1609",3.77,"C > A",0.26525198938992
"participant2","","S54-806",1.69,"A",0.0946745562130178
"participant2","","S54-806",1.69,"C",0.556213017751479
"participant2","","S54-806",1.69,"A > C",0
"participant2","","S54-806",1.69,"C > A",0.349112426035503
"participant2","","S89-1642-dep",1,"A",0
"participant2","","S89-1642-dep",1,"C",0
"participant2","","S89-1642-dep",1,"A > C",1
"participant2","","S89-1642-dep",1,"C > A",0
"participant2","","S42-806",2.43,"A",0.275720164609054
"participant2","","S42-806",2.43,"C",0.31275720164609
"participant2","","S42-806",2.43,"A > C",0
"participant2","","S42-806",2.43,"C > A",0.411522633744856
"participant2","","S7-130-dep",4,"A",0.25
"participant2","","S7-130-dep",4,"C",0.25
"participant2","","S7-130-dep",4,"A > C",0.25
"participant2","","S7-130-dep",4,"C > A",0.25
"participant2","","S30-805",0.67,"A",0
"participant2","","S30-805",0.67,"C",0
"participant2","","S30-805",0.67,"A > C",0
"participant2","","S30-805",0.67,"C > A",1
"participant2","","S44-806",3.35,"A",0.298507462686567
"participant2","","S44-806",3.35,"C",0.298507462686567
"participant2","","S44-806",3.35,"A > C",0.13134328358209
"participant2","","S44-806",3.35,"C > A",0.271641791044776
"participant2","","S97-1674",1.92,"A",0.15625
"participant2","","S97-1674",1.92,"C",0.135416666666667
"participant2","","S97-1674",1.92,"A > C",0.364583333333333
"participant2","","S97-1674",1.92,"C > A",0.34375
"participant2","","S7-130",4,"A",0.25
"participant2","","S7-130",4,"C",0.25
"participant2","","S7-130",4,"A > C",0.25
"participant2","","S7-130",4,"C > A",0.25
"participant2","","S15-443",4,"A",0.25
"participant2","","S15-443",4,"C",0.25
"participant2","","S15-443",4,"A > C",0.25
"participant2","","S15-443",4,"C > A",0.25
"participant2","","S93-1674",2.39,"A",0.418410041841004
"participant2","","S93-1674",2.39,"C",0.418410041841004
"participant2","","S93-1674",2.39,"A > C",0.163179916317992
"participant2","","S93-1674",2.39,"C > A",0
"participant2","","S55-1006",3.25,"A",0.307692307692308
"participant2","","S55-1006",3.25,"C",0.307692307692308
"participant2","","S55-1006",3.25,"A > C",0.0769230769230769
"participant2","","S55-1006",3.25,"C > A",0.307692307692308
"participant2","","S8-202",0.53,"A",0.358490566037736
"participant2","","S8-202",0.53,"C",0.0943396226415094
"participant2","","S8-202",0.53,"A > C",0.547169811320755
