"participant_id","stimulus_id","utterance","response"
"participant17","S12-203","C",0.79
"participant17","S12-203","C > A",0.87
"participant17","S15-443","A",0.31
"participant17","S15-443","A > C",0.78
"participant17","S15-443","C",0.68
"participant17","S15-443","C > A",0.76
"participant17","S20-468","A",0.94
"participant17","S20-468","A > C",0.75
"participant17","S20-468","C",0.17
"participant17","S20-468","C > A",0.72
"participant17","S22-468","A",0.97
"participant17","S22-468","A > C",1
"participant17","S22-468","C",0
"participant17","S22-468","C > A",1
"participant17","S30-805","A",0.12
"participant17","S30-805","A > C",0.02
"participant17","S30-805","C",1
"participant17","S30-805","C > A",0.91
"participant17","S30-805-dep","A",0.27
"participant17","S30-805-dep","A > C",0.63
"participant17","S30-805-dep","C",0.68
"participant17","S30-805-dep","C > A",0.17
"participant17","S32-806","A",1
"participant17","S32-806","A > C",1
"participant17","S32-806","C",1
"participant17","S32-806","C > A",0.97
"participant17","S34-806","A",0.04
"participant17","S34-806","A > C",0.9
"participant17","S34-806","C",1
"participant17","S34-806","C > A",0.83
"participant17","S42-806","A",1
"participant17","S42-806","A > C",0
"participant17","S42-806","C",0
"participant17","S42-806","C > A",1
"participant17","S44-806","A",0.21
"participant17","S44-806","A > C",0.9
"participant17","S44-806","C",0.15
"participant17","S44-806","C > A",0.97
"participant17","S54-806","A",0.74
"participant17","S54-806","A > C",0.85
"participant17","S54-806","C",0.99
"participant17","S54-806","C > A",0
"participant17","S55-1006","A",0.78
"participant17","S55-1006","A > C",0.82
"participant17","S55-1006","C",0.9
"participant17","S55-1006","C > A",0.26
"participant17","S57-1007","A",0
"participant17","S57-1007","A > C",1
"participant17","S57-1007","C",1
"participant17","S57-1007","C > A",0.2
"participant17","S59-1007","A",0.82
"participant17","S59-1007","A > C",0.03
"participant17","S59-1007","C",0.87
"participant17","S59-1007","C > A",0.76
"participant17","S63-1039","A",0.02
"participant17","S63-1039","A > C",0.04
"participant17","S63-1039","C",0.36
"participant17","S63-1039","C > A",0.22
"participant17","S7-130","A",1
"participant17","S7-130","A > C",1
"participant17","S7-130","C",0.83
"participant17","S7-130","C > A",1
"participant17","S7-130-dep","A",0
"participant17","S7-130-dep","A > C",0.05
"participant17","S7-130-dep","C",0.91
"participant17","S7-130-dep","C > A",0.92
"participant17","S8-202","A",0.14
"participant17","S8-202","A > C",0.91
"participant17","S8-202","C",0.25
"participant17","S8-202","C > A",0.15
"participant17","S83-1609","A",0.38
"participant17","S83-1609","A > C",0.78
"participant17","S83-1609","C",0.26
"participant17","S83-1609","C > A",0.76
"participant17","S89-1642","A",0.3
"participant17","S89-1642","A > C",0.89
"participant17","S89-1642","C",0.67
"participant17","S89-1642","C > A",0.07
"participant17","S89-1642-dep","A",0.94
"participant17","S89-1642-dep","A > C",0
"participant17","S89-1642-dep","C",1
"participant17","S89-1642-dep","C > A",0.79
"participant17","S93-1674","A",0.91
"participant17","S93-1674","A > C",1
"participant17","S93-1674","C",0.8
"participant17","S93-1674","C > A",0.07
"participant17","S97-1674","A",1
"participant17","S97-1674","A > C",1
"participant17","S97-1674","C",0.04
"participant17","S97-1674","C > A",0.42
"participant18","S1-121","A",1
"participant18","S1-121","A > C",1
"participant18","S1-121","C",1
"participant18","S1-121","C > A",1
"participant18","S10-203","A",1
"participant18","S10-203","A > C",0.7
"participant18","S10-203","C",0
"participant18","S10-203","C > A",0
"participant18","S12-203","A",1
"participant18","S12-203","A > C",0
"participant18","S12-203","C",0
"participant18","S12-203","C > A",0
"participant18","S15-443","A",1
"participant18","S15-443","A > C",0.72
"participant18","S15-443","C",0.08
"participant18","S15-443","C > A",0.61
"participant18","S20-468","A",1
"participant18","S20-468","A > C",0
"participant18","S20-468","C",0.65
"participant18","S20-468","C > A",0
"participant18","S22-468","A",1
"participant18","S22-468","A > C",1
"participant18","S22-468","C",1
"participant18","S22-468","C > A",1
"participant18","S34-806","A",0
"participant18","S34-806","A > C",1
"participant18","S34-806","C",1
"participant18","S34-806","C > A",1
"participant18","S54-806","A",0
"participant18","S54-806","A > C",0.02
"participant18","S54-806","C",0
"participant18","S54-806","C > A",0
"participant18","S55-1006","A",0
"participant18","S55-1006","A > C",0
"participant18","S55-1006","C",0.57
"participant18","S55-1006","C > A",0
"participant18","S57-1007","A",0
"participant18","S57-1007","A > C",0
"participant18","S57-1007","C",1
"participant18","S57-1007","C > A",0
"participant18","S59-1007","A",0
"participant18","S59-1007","A > C",0
"participant18","S59-1007","C",1
"participant18","S59-1007","C > A",0
"participant18","S63-1039","A",1
"participant18","S63-1039","A > C",1
"participant18","S63-1039","C",1
"participant18","S63-1039","C > A",1
"participant18","S7-130","A",1
"participant18","S7-130","A > C",1
"participant18","S7-130","C",1
"participant18","S7-130","C > A",1
"participant18","S7-130-dep","A",1
"participant18","S7-130-dep","A > C",1
"participant18","S7-130-dep","C",1
"participant18","S7-130-dep","C > A",1
"participant18","S8-202","A",1
"participant18","S8-202","A > C",1
"participant18","S8-202","C",0
"participant18","S8-202","C > A",1
"participant18","S89-1642","A",1
"participant18","S89-1642","A > C",0
"participant18","S89-1642","C",1
"participant18","S89-1642","C > A",1
"participant18","S93-1674","A",0.01
"participant18","S93-1674","A > C",0
"participant18","S93-1674","C",1
"participant18","S93-1674","C > A",1
"participant18","S97-1674","A",1
"participant18","S97-1674","A > C",0.46
"participant18","S97-1674","C",0.64
"participant18","S97-1674","C > A",1
"participant19","S1-121","A",1
"participant19","S1-121","A > C",0
"participant19","S1-121","C",1
"participant19","S1-121","C > A",0
"participant19","S10-203","A",1
"participant19","S10-203","A > C",0
"participant19","S10-203","C",1
"participant19","S10-203","C > A",0
"participant19","S12-203","A",1
"participant19","S12-203","A > C",0
"participant19","S12-203","C",1
"participant19","S12-203","C > A",0
"participant19","S15-443","A",1
"participant19","S15-443","A > C",0
"participant19","S15-443","C",1
"participant19","S15-443","C > A",0
"participant19","S20-468","A",1
"participant19","S20-468","A > C",0.77
"participant19","S20-468","C",1
"participant19","S20-468","C > A",0
"participant19","S22-468","A",1
"participant19","S22-468","A > C",0
"participant19","S22-468","C",1
"participant19","S22-468","C > A",0
"participant19","S30-805","A",1
"participant19","S30-805","A > C",0
"participant19","S30-805","C",1
"participant19","S30-805","C > A",0
"participant19","S30-805-dep","A",0
"participant19","S30-805-dep","A > C",1
"participant19","S30-805-dep","C",0
"participant19","S30-805-dep","C > A",1
"participant19","S32-806","A",1
"participant19","S32-806","A > C",0.17
"participant19","S32-806","C",1
"participant19","S32-806","C > A",0.14
"participant19","S34-806","A",1
"participant19","S34-806","A > C",0
"participant19","S34-806","C",1
"participant19","S34-806","C > A",1
"participant19","S42-806","A",1
"participant19","S42-806","A > C",1
"participant19","S42-806","C",1
"participant19","S42-806","C > A",1
"participant19","S44-806","A",0.74
"participant19","S44-806","A > C",0.19
"participant19","S44-806","C",0.21
"participant19","S44-806","C > A",1
"participant19","S54-806","A",0.33
"participant19","S54-806","A > C",1
"participant19","S54-806","C",0.23
"participant19","S54-806","C > A",0.81
"participant19","S55-1006","A",1
"participant19","S55-1006","A > C",0.76
"participant19","S55-1006","C",1
"participant19","S55-1006","C > A",0.09
"participant19","S57-1007","A",1
"participant19","S57-1007","A > C",0
"participant19","S57-1007","C",1
"participant19","S57-1007","C > A",0
"participant19","S59-1007","A",0
"participant19","S59-1007","A > C",1
"participant19","S59-1007","C",1
"participant19","S59-1007","C > A",0
"participant19","S63-1039","A",1
"participant19","S63-1039","A > C",1
"participant19","S63-1039","C",1
"participant19","S63-1039","C > A",1
"participant19","S7-130","A",1
"participant19","S7-130","A > C",0
"participant19","S7-130","C",1
"participant19","S7-130","C > A",0
"participant19","S7-130-dep","A",1
"participant19","S7-130-dep","A > C",1
"participant19","S7-130-dep","C",1
"participant19","S7-130-dep","C > A",1
"participant19","S8-202","A",1
"participant19","S8-202","A > C",1
"participant19","S8-202","C",1
"participant19","S8-202","C > A",1
"participant19","S83-1609","A",1
"participant19","S83-1609","A > C",0
"participant19","S83-1609","C",1
"participant19","S83-1609","C > A",0
"participant19","S89-1642","A",1
"participant19","S89-1642","A > C",0
"participant19","S89-1642","C",1
"participant19","S89-1642","C > A",0
"participant19","S89-1642-dep","A",1
"participant19","S89-1642-dep","A > C",1
"participant19","S89-1642-dep","C",1
"participant19","S89-1642-dep","C > A",1
"participant19","S93-1674","A",1
"participant19","S93-1674","A > C",0
"participant19","S93-1674","C",1
"participant19","S93-1674","C > A",0
"participant19","S97-1674","A",1
"participant19","S97-1674","A > C",1
"participant19","S97-1674","C",1
"participant19","S97-1674","C > A",1
"participant2","S1-121","A",1
"participant2","S1-121","A > C",1
"participant2","S1-121","C",0.72
"participant2","S1-121","C > A",1
"participant2","S10-203","A",1
"participant2","S10-203","A > C",0
"participant2","S10-203","C",0
"participant2","S10-203","C > A",0
"participant2","S12-203","A",0.97
"participant2","S12-203","A > C",0.38
"participant2","S12-203","C",0.84
"participant2","S12-203","C > A",0.64
"participant2","S15-443","A",1
"participant2","S15-443","A > C",1
"participant2","S15-443","C",1
"participant2","S15-443","C > A",1
"participant2","S20-468","A",1
"participant2","S20-468","A > C",0.29
"participant2","S20-468","C",1
"participant2","S20-468","C > A",1
"participant2","S22-468","A",1
"participant2","S22-468","A > C",1
"participant2","S22-468","C",1
"participant2","S22-468","C > A",1
"participant2","S30-805","A",0
"participant2","S30-805","A > C",0
"participant2","S30-805","C",0
"participant2","S30-805","C > A",0.67
"participant2","S32-806","A",0.92
"participant2","S32-806","A > C",0.58
"participant2","S32-806","C",0.77
"participant2","S32-806","C > A",0.25
"participant2","S34-806","A",0.61
"participant2","S34-806","A > C",0.78
"participant2","S34-806","C",0.49
"participant2","S34-806","C > A",0.63
"participant2","S42-806","A",0.67
"participant2","S42-806","A > C",0
"participant2","S42-806","C",0.76
"participant2","S42-806","C > A",1
"participant2","S44-806","A",1
"participant2","S44-806","A > C",0.44
"participant2","S44-806","C",1
"participant2","S44-806","C > A",0.91
"participant2","S54-806","A",0.16
"participant2","S54-806","A > C",0
"participant2","S54-806","C",0.94
"participant2","S54-806","C > A",0.59
"participant2","S55-1006","A",1
"participant2","S55-1006","A > C",0.25
"participant2","S55-1006","C",1
"participant2","S55-1006","C > A",1
"participant2","S57-1007","A",0
"participant2","S57-1007","A > C",0
"participant2","S57-1007","C",1
"participant2","S57-1007","C > A",0
"participant2","S59-1007","A",0
"participant2","S59-1007","A > C",0.64
"participant2","S59-1007","C",0.95
"participant2","S59-1007","C > A",0.59
"participant2","S7-130","A",1
"participant2","S7-130","A > C",1
"participant2","S7-130","C",1
"participant2","S7-130","C > A",1
"participant2","S7-130-dep","A",1
"participant2","S7-130-dep","A > C",1
"participant2","S7-130-dep","C",1
"participant2","S7-130-dep","C > A",1
"participant2","S8-202","A",0.19
"participant2","S8-202","A > C",0.29
"participant2","S8-202","C",0.05
"participant2","S8-202","C > A",0
"participant2","S83-1609","A",1
"participant2","S83-1609","A > C",0.77
"participant2","S83-1609","C",1
"participant2","S83-1609","C > A",1
"participant2","S89-1642","A",0.93
"participant2","S89-1642","A > C",0.8
"participant2","S89-1642","C",1
"participant2","S89-1642","C > A",0.95
"participant2","S89-1642-dep","A",0
"participant2","S89-1642-dep","A > C",1
"participant2","S89-1642-dep","C",0
"participant2","S89-1642-dep","C > A",0
"participant2","S93-1674","A",1
"participant2","S93-1674","A > C",0.39
"participant2","S93-1674","C",1
"participant2","S93-1674","C > A",0
"participant2","S97-1674","A",0.3
"participant2","S97-1674","A > C",0.7
"participant2","S97-1674","C",0.26
"participant2","S97-1674","C > A",0.66
"participant20","S1-121","A",0.73
"participant20","S1-121","A > C",0.65
"participant20","S1-121","C",0.77
"participant20","S1-121","C > A",0.7
"participant20","S10-203","A",0.6
"participant20","S10-203","A > C",0.86
"participant20","S10-203","C",1
"participant20","S10-203","C > A",0.23
"participant20","S12-203","A",0.98
"participant20","S12-203","A > C",0.16
"participant20","S12-203","C",0.86
"participant20","S12-203","C > A",0.18
"participant20","S15-443","A",0.86
"participant20","S15-443","A > C",0.81
"participant20","S15-443","C",0.89
"participant20","S15-443","C > A",0.75
"participant20","S20-468","A",0.7
"participant20","S20-468","A > C",0.82
"participant20","S20-468","C",1
"participant20","S20-468","C > A",0.9
"participant20","S22-468","A",0.84
"participant20","S22-468","A > C",0.89
"participant20","S22-468","C",0.84
"participant20","S22-468","C > A",0.89
"participant20","S30-805","A",0.9
"participant20","S30-805","A > C",0.84
"participant20","S30-805","C",0.9
"participant20","S30-805","C > A",0.82
"participant20","S32-806","A",0.67
"participant20","S32-806","A > C",0.46
"participant20","S32-806","C",0.83
"participant20","S32-806","C > A",0.47
"participant20","S34-806","A",0.26
"participant20","S34-806","A > C",0.83
"participant20","S34-806","C",0.64
"participant20","S34-806","C > A",0.3
"participant20","S42-806","A",0
"participant20","S42-806","A > C",0
"participant20","S42-806","C",0.03
"participant20","S42-806","C > A",0
"participant20","S44-806","A",0.78
"participant20","S44-806","A > C",0.05
"participant20","S44-806","C",0.08
"participant20","S44-806","C > A",0.94
"participant20","S54-806","A",0.1
"participant20","S54-806","A > C",0.76
"participant20","S54-806","C",0.22
"participant20","S54-806","C > A",0.02
"participant20","S55-1006","A",0.89
"participant20","S55-1006","A > C",0.14
"participant20","S55-1006","C",0.82
"participant20","S55-1006","C > A",0.13
"participant20","S57-1007","A",1
"participant20","S57-1007","A > C",1
"participant20","S57-1007","C",1
"participant20","S57-1007","C > A",1
"participant20","S59-1007","A",0.01
"participant20","S59-1007","A > C",0.86
"participant20","S59-1007","C",0.81
"participant20","S59-1007","C > A",0.2
"participant20","S63-1039","A",0.09
"participant20","S63-1039","A > C",0
"participant20","S63-1039","C",0.15
"participant20","S63-1039","C > A",0
"participant20","S7-130","A",0.84
"participant20","S7-130","A > C",0.89
"participant20","S7-130","C",0.91
"participant20","S7-130","C > A",0.91
"participant20","S8-202","A",0.73
"participant20","S8-202","A > C",0.12
"participant20","S8-202","C",0.78
"participant20","S8-202","C > A",0.19
"participant20","S83-1609","A",0.81
"participant20","S83-1609","A > C",0.74
"participant20","S83-1609","C",0.78
"participant20","S83-1609","C > A",0.74
"participant20","S89-1642","A",0.96
"participant20","S89-1642","A > C",0.94
"participant20","S89-1642","C",0.88
"participant20","S89-1642","C > A",0.97
"participant20","S89-1642-dep","A",0.21
"participant20","S89-1642-dep","A > C",0.21
"participant20","S89-1642-dep","C",0.76
"participant20","S89-1642-dep","C > A",0.14
"participant20","S93-1674","A",0.69
"participant20","S93-1674","A > C",0.08
"participant20","S93-1674","C",0.1
"participant20","S93-1674","C > A",0.78
"participant21","S1-121","A",1
"participant21","S1-121","A > C",1
"participant21","S1-121","C",1
"participant21","S1-121","C > A",1
"participant21","S10-203","A",1
"participant21","S10-203","A > C",0.66
"participant21","S10-203","C",0.58
"participant21","S10-203","C > A",0.59
"participant21","S12-203","A",1
"participant21","S12-203","A > C",1
"participant21","S12-203","C",1
"participant21","S12-203","C > A",1
"participant21","S15-443","A",1
"participant21","S15-443","A > C",0.53
"participant21","S15-443","C",0.55
"participant21","S15-443","C > A",0.52
"participant21","S20-468","A",1
"participant21","S20-468","A > C",0.95
"participant21","S20-468","C",0.92
"participant21","S20-468","C > A",0.92
"participant21","S22-468","A",1
"participant21","S22-468","A > C",0.6
"participant21","S22-468","C",1
"participant21","S22-468","C > A",0.56
"participant21","S30-805","A",0.73
"participant21","S30-805","A > C",0.87
"participant21","S30-805","C",0.91
"participant21","S30-805","C > A",0.9
"participant21","S30-805-dep","A",0.45
"participant21","S30-805-dep","A > C",0.47
"participant21","S30-805-dep","C",0.21
"participant21","S30-805-dep","C > A",0.44
"participant21","S32-806","A",0.47
"participant21","S32-806","A > C",0.67
"participant21","S32-806","C",0.47
"participant21","S32-806","C > A",0.76
"participant21","S34-806","A",0.47
"participant21","S34-806","A > C",0.44
"participant21","S34-806","C",0.56
"participant21","S34-806","C > A",0.45
"participant21","S42-806","A",0.57
"participant21","S42-806","A > C",0.92
"participant21","S42-806","C",0.55
"participant21","S42-806","C > A",0.92
"participant21","S44-806","A",1
"participant21","S44-806","A > C",0.84
"participant21","S44-806","C",0.76
"participant21","S44-806","C > A",0.81
"participant21","S54-806","A",0.78
"participant21","S54-806","A > C",0.62
"participant21","S54-806","C",0.75
"participant21","S54-806","C > A",0.64
"participant21","S55-1006","A",0.47
"participant21","S55-1006","A > C",0.47
"participant21","S55-1006","C",0.53
"participant21","S55-1006","C > A",0.49
"participant21","S57-1007","A",0.53
"participant21","S57-1007","A > C",1
"participant21","S57-1007","C",0.83
"participant21","S57-1007","C > A",0.82
"participant21","S59-1007","A",0.48
"participant21","S59-1007","A > C",1
"participant21","S59-1007","C",0.83
"participant21","S59-1007","C > A",0.47
"participant21","S63-1039","A",0.59
"participant21","S63-1039","A > C",0.55
"participant21","S63-1039","C",0.57
"participant21","S63-1039","C > A",0.54
"participant21","S7-130","A",0.93
"participant21","S7-130","A > C",0.78
"participant21","S7-130","C",0.9
"participant21","S7-130","C > A",0.95
"participant21","S7-130-dep","A",1
"participant21","S7-130-dep","A > C",1
"participant21","S7-130-dep","C",1
"participant21","S7-130-dep","C > A",1
"participant21","S8-202","A",1
"participant21","S8-202","A > C",0.54
"participant21","S8-202","C",0.55
"participant21","S8-202","C > A",1
"participant21","S83-1609","A",1
"participant21","S83-1609","A > C",1
"participant21","S83-1609","C",1
"participant21","S83-1609","C > A",1
"participant21","S89-1642","A",1
"participant21","S89-1642","A > C",0.95
"participant21","S89-1642","C",1
"participant21","S89-1642","C > A",0.95
"participant21","S89-1642-dep","A",0.62
"participant21","S89-1642-dep","A > C",0.53
"participant21","S89-1642-dep","C",0.59
"participant21","S89-1642-dep","C > A",0.55
"participant21","S93-1674","A",0.63
"participant21","S93-1674","A > C",0.76
"participant21","S93-1674","C",0.9
"participant21","S93-1674","C > A",0.74
"participant21","S97-1674","A",1
"participant21","S97-1674","A > C",0.58
"participant21","S97-1674","C",1
"participant21","S97-1674","C > A",0.58
"participant22","S1-121","A",1
"participant22","S1-121","A > C",0.11
"participant22","S1-121","C",1
"participant22","S1-121","C > A",1
"participant22","S10-203","A",0.73
"participant22","S10-203","A > C",0.66
"participant22","S10-203","C",0.25
"participant22","S10-203","C > A",0.52
"participant22","S12-203","A",1
"participant22","S12-203","A > C",0.11
"participant22","S12-203","C",0.15
"participant22","S12-203","C > A",1
"participant22","S15-443","A",0.67
"participant22","S15-443","A > C",0.69
"participant22","S15-443","C",0.71
"participant22","S15-443","C > A",0.71
"participant22","S20-468","A",1
"participant22","S20-468","A > C",1
"participant22","S20-468","C",1
"participant22","S20-468","C > A",1
"participant22","S22-468","A",0.65
"participant22","S22-468","A > C",0.3
"participant22","S22-468","C",0.56
"participant22","S22-468","C > A",0.29
"participant22","S30-805","A",0.3
"participant22","S30-805","A > C",0.31
"participant22","S30-805","C",0.31
"participant22","S30-805","C > A",0.31
"participant22","S30-805-dep","A",0.74
"participant22","S30-805-dep","A > C",1
"participant22","S30-805-dep","C",0
"participant22","S30-805-dep","C > A",0.28
"participant22","S32-806","A",0.3
"participant22","S32-806","A > C",0.23
"participant22","S32-806","C",0.3
"participant22","S32-806","C > A",0.26
"participant22","S34-806","A",0
"participant22","S34-806","A > C",0.07
"participant22","S34-806","C",0.14
"participant22","S34-806","C > A",0.1
"participant22","S42-806","A",0
"participant22","S42-806","A > C",0.51
"participant22","S42-806","C",0
"participant22","S42-806","C > A",1
"participant22","S44-806","A",1
"participant22","S44-806","A > C",0.1
"participant22","S44-806","C",0.07
"participant22","S44-806","C > A",1
"participant22","S54-806","A",0.16
"participant22","S54-806","A > C",1
"participant22","S54-806","C",0.65
"participant22","S54-806","C > A",1
"participant22","S55-1006","A",0.34
"participant22","S55-1006","A > C",0.29
"participant22","S55-1006","C",0.66
"participant22","S55-1006","C > A",0.28
"participant22","S57-1007","A",0.25
"participant22","S57-1007","A > C",0.75
"participant22","S57-1007","C",0.89
"participant22","S57-1007","C > A",0.11
"participant22","S59-1007","A",0.21
"participant22","S59-1007","A > C",1
"participant22","S59-1007","C",1
"participant22","S59-1007","C > A",0.2
"participant22","S63-1039","A",0.52
"participant22","S63-1039","A > C",0
"participant22","S63-1039","C",0.53
"participant22","S63-1039","C > A",0.08
"participant22","S7-130","A",1
"participant22","S7-130","A > C",1
"participant22","S7-130","C",1
"participant22","S7-130","C > A",1
"participant22","S7-130-dep","A",1
"participant22","S7-130-dep","A > C",1
"participant22","S7-130-dep","C",1
"participant22","S7-130-dep","C > A",1
"participant22","S8-202","A",0.78
"participant22","S8-202","A > C",0
"participant22","S8-202","C",0
"participant22","S8-202","C > A",0.33
"participant22","S83-1609","A",0.76
"participant22","S83-1609","A > C",0.67
"participant22","S83-1609","C",0.68
"participant22","S83-1609","C > A",0.69
"participant22","S89-1642","A",0.48
"participant22","S89-1642","A > C",0.3
"participant22","S89-1642","C",0.49
"participant22","S89-1642","C > A",0.3
"participant22","S89-1642-dep","A",1
"participant22","S89-1642-dep","A > C",1
"participant22","S89-1642-dep","C",1
"participant22","S89-1642-dep","C > A",1
"participant22","S93-1674","A",1
"participant22","S93-1674","A > C",1
"participant22","S93-1674","C",1
"participant22","S93-1674","C > A",1
"participant22","S97-1674","A",1
"participant22","S97-1674","A > C",1
"participant22","S97-1674","C",1
"participant22","S97-1674","C > A",1
"participant23","S1-121","A",0.3
"participant23","S1-121","A > C",0.86
"participant23","S1-121","C",0.82
"participant23","S1-121","C > A",0.37
"participant23","S10-203","A",0.31
"participant23","S10-203","A > C",0
"participant23","S10-203","C",0.79
"participant23","S10-203","C > A",0.2
"participant23","S12-203","A",1
"participant23","S12-203","A > C",0.71
"participant23","S12-203","C",0.8
"participant23","S12-203","C > A",0.76
"participant23","S15-443","A",0.76
"participant23","S15-443","A > C",0.27
"participant23","S15-443","C",0.42
"participant23","S15-443","C > A",0.25
"participant23","S20-468","A",0.37
"participant23","S20-468","A > C",0.36
"participant23","S20-468","C",1
"participant23","S20-468","C > A",0.3
"participant23","S22-468","A",1
"participant23","S22-468","A > C",1
"participant23","S22-468","C",1
"participant23","S22-468","C > A",1
"participant23","S30-805","A",0.78
"participant23","S30-805","A > C",1
"participant23","S30-805","C",0.87
"participant23","S30-805","C > A",0.72
"participant23","S30-805-dep","A",0.71
"participant23","S30-805-dep","A > C",0.24
"participant23","S30-805-dep","C",0.36
"participant23","S30-805-dep","C > A",0.74
"participant23","S32-806","A",0.29
"participant23","S32-806","A > C",0.29
"participant23","S32-806","C",0.8
"participant23","S32-806","C > A",0.74
"participant23","S34-806","A",0.24
"participant23","S34-806","A > C",0.67
"participant23","S34-806","C",0.36
"participant23","S34-806","C > A",0.29
"participant23","S42-806","A",0.84
"participant23","S42-806","A > C",0.76
"participant23","S42-806","C",0
"participant23","S42-806","C > A",1
"participant23","S44-806","A",0.76
"participant23","S44-806","A > C",0.74
"participant23","S44-806","C",1
"participant23","S44-806","C > A",0.78
"participant23","S54-806","A",0.26
"participant23","S54-806","A > C",0.35
"participant23","S54-806","C",0.35
"participant23","S54-806","C > A",0.62
"participant23","S55-1006","A",0.78
"participant23","S55-1006","A > C",0.14
"participant23","S55-1006","C",0.71
"participant23","S55-1006","C > A",0.13
"participant23","S57-1007","A",0.88
"participant23","S57-1007","A > C",1
"participant23","S57-1007","C",1
"participant23","S57-1007","C > A",0.7
"participant23","S59-1007","A",0.1
"participant23","S59-1007","A > C",1
"participant23","S59-1007","C",0.87
"participant23","S59-1007","C > A",0.24
"participant23","S63-1039","A",0.41
"participant23","S63-1039","A > C",0.13
"participant23","S63-1039","C",0.31
"participant23","S63-1039","C > A",0.18
"participant23","S7-130","A",0.93
"participant23","S7-130","A > C",0.79
"participant23","S7-130","C",0.89
"participant23","S7-130","C > A",0.87
"participant23","S7-130-dep","A",0.84
"participant23","S7-130-dep","A > C",0.78
"participant23","S7-130-dep","C",0.71
"participant23","S7-130-dep","C > A",0.66
"participant23","S8-202","A",0.29
"participant23","S8-202","A > C",0.34
"participant23","S8-202","C",0.35
"participant23","S8-202","C > A",0.22
"participant23","S83-1609","A",0.72
"participant23","S83-1609","A > C",0
"participant23","S83-1609","C",0.38
"participant23","S83-1609","C > A",0.31
"participant23","S89-1642","A",0.85
"participant23","S89-1642","A > C",0.68
"participant23","S89-1642","C",0.75
"participant23","S89-1642","C > A",0.74
"participant23","S89-1642-dep","A",0.98
"participant23","S89-1642-dep","A > C",1
"participant23","S89-1642-dep","C",0.76
"participant23","S89-1642-dep","C > A",1
"participant23","S93-1674","A",0.78
"participant23","S93-1674","A > C",0
"participant23","S93-1674","C",0.18
"participant23","S93-1674","C > A",1
"participant23","S97-1674","A",0.97
"participant23","S97-1674","A > C",1
"participant23","S97-1674","C",0.62
"participant23","S97-1674","C > A",0.8
"participant24","S1-121","A",1
"participant24","S1-121","A > C",1
"participant24","S1-121","C",1
"participant24","S1-121","C > A",1
"participant24","S10-203","A",1
"participant24","S10-203","A > C",0.03
"participant24","S10-203","C",0.01
"participant24","S10-203","C > A",0.06
"participant24","S12-203","A",1
"participant24","S12-203","A > C",0
"participant24","S12-203","C",0
"participant24","S12-203","C > A",0.66
"participant24","S15-443","A",1
"participant24","S15-443","A > C",0.03
"participant24","S15-443","C",0.95
"participant24","S15-443","C > A",0.02
"participant24","S20-468","A",1
"participant24","S20-468","A > C",0.32
"participant24","S20-468","C",0.94
"participant24","S20-468","C > A",1
"participant24","S22-468","A",1
"participant24","S22-468","A > C",0.13
"participant24","S22-468","C",0.6
"participant24","S22-468","C > A",0.89
"participant24","S30-805-dep","A",0.06
"participant24","S30-805-dep","A > C",0
"participant24","S30-805-dep","C",0
"participant24","S30-805-dep","C > A",0.61
"participant24","S32-806","A",0.05
"participant24","S32-806","A > C",0
"participant24","S32-806","C",0
"participant24","S32-806","C > A",0
"participant24","S34-806","A",0
"participant24","S34-806","A > C",0
"participant24","S34-806","C",0
"participant24","S34-806","C > A",1
"participant24","S42-806","A",0.69
"participant24","S42-806","A > C",1
"participant24","S42-806","C",0.67
"participant24","S42-806","C > A",1
"participant24","S44-806","A",0.03
"participant24","S44-806","A > C",0.03
"participant24","S44-806","C",0
"participant24","S44-806","C > A",1
"participant24","S54-806","A",0
"participant24","S54-806","A > C",1
"participant24","S54-806","C",0
"participant24","S54-806","C > A",0.02
"participant24","S55-1006","A",0
"participant24","S55-1006","A > C",0
"participant24","S55-1006","C",0.7
"participant24","S55-1006","C > A",0
"participant24","S59-1007","A",0
"participant24","S59-1007","A > C",1
"participant24","S59-1007","C",0.44
"participant24","S59-1007","C > A",0
"participant24","S63-1039","A",0
"participant24","S63-1039","A > C",1
"participant24","S63-1039","C",0.76
"participant24","S63-1039","C > A",1
"participant24","S7-130","A",1
"participant24","S7-130","A > C",1
"participant24","S7-130","C",1
"participant24","S7-130","C > A",1
"participant24","S7-130-dep","A",1
"participant24","S7-130-dep","A > C",1
"participant24","S7-130-dep","C",1
"participant24","S7-130-dep","C > A",1
"participant24","S8-202","A",1
"participant24","S8-202","A > C",1
"participant24","S8-202","C",0
"participant24","S8-202","C > A",0.99
"participant24","S83-1609","A",0.91
"participant24","S83-1609","A > C",0.06
"participant24","S83-1609","C",0.79
"participant24","S83-1609","C > A",0.07
"participant24","S89-1642","A",0.75
"participant24","S89-1642","A > C",0.08
"participant24","S89-1642","C",0.77
"participant24","S89-1642","C > A",0.04
"participant24","S89-1642-dep","A",1
"participant24","S89-1642-dep","A > C",1
"participant24","S89-1642-dep","C",1
"participant24","S89-1642-dep","C > A",1
"participant24","S93-1674","A",0.58
"participant24","S93-1674","A > C",0.16
"participant24","S93-1674","C",0.82
"participant24","S93-1674","C > A",0.38
"participant24","S97-1674","A",1
"participant24","S97-1674","A > C",1
"participant24","S97-1674","C",1
"participant24","S97-1674","C > A",1
"participant25","S1-121","A",1
