"participant_id","stimulus_id","utterance","response"
"participant10","S59-1007","A > C",1
"participant10","S59-1007","C",0.97
"participant10","S59-1007","C > A",0.31
"participant10","S63-1039","A",0.32
"participant10","S63-1039","A > C",0.69
"participant10","S63-1039","C",0.73
"participant10","S63-1039","C > A",0.66
"participant10","S7-130","A",0.97
"participant10","S7-130","A > C",1
"participant10","S7-130","C",1
"participant10","S7-130","C > A",1
"participant10","S7-130-dep","A",0.98
"participant10","S7-130-dep","A > C",0.95
"participant10","S7-130-dep","C",1
"participant10","S7-130-dep","C > A",0.96
"participant10","S8-202","A",1
"participant10","S8-202","A > C",0.06
"participant10","S8-202","C",0.35
"participant10","S8-202","C > A",0.97
"participant10","S83-1609","A",0.9
"participant10","S83-1609","A > C",0.89
"participant10","S83-1609","C",0.86
"participant10","S83-1609","C > A",0.96
"participant10","S89-1642","A",0.6
"participant10","S89-1642","A > C",1
"participant10","S89-1642","C",0.98
"participant10","S89-1642","C > A",0.69
"participant10","S89-1642-dep","A",0.43
"participant10","S89-1642-dep","A > C",1
"participant10","S89-1642-dep","C",0.25
"participant10","S89-1642-dep","C > A",1
"participant10","S93-1674","A",0.78
"participant10","S93-1674","A > C",0.94
"participant10","S93-1674","C",0.84
"participant10","S93-1674","C > A",0.97
"participant10","S97-1674","A",1
"participant10","S97-1674","A > C",0.96
"participant10","S97-1674","C",0.99
"participant10","S97-1674","C > A",0.99
"participant11","S1-121","A",0.9
"participant11","S1-121","A > C",0.86
"participant11","S1-121","C",0.9
"participant11","S1-121","C > A",0.87
"participant11","S10-203","A",0.69
"participant11","S10-203","A > C",0.45
"participant11","S10-203","C",0.4
"participant11","S10-203","C > A",0.65
"participant11","S12-203","A",0.9
"participant11","S12-203","A > C",0.91
"participant11","S12-203","C",0.62
"participant11","S12-203","C > A",0.87
"participant11","S15-443","A",0.78
"participant11","S15-443","A > C",0.81
"participant11","S15-443","C",0.83
"participant11","S15-443","C > A",0.81
"participant11","S20-468","A",0.92
"participant11","S20-468","A > C",0.84
"participant11","S20-468","C",0.86
"participant11","S20-468","C > A",0.86
"participant11","S22-468","A",0.58
"participant11","S22-468","A > C",0.68
"participant11","S22-468","C",0.44
"participant11","S22-468","C > A",0.43
"participant11","S30-805","A",0.11
"participant11","S30-805","A > C",0.15
"participant11","S30-805","C",0.19
"participant11","S30-805","C > A",0.22
"participant11","S30-805-dep","A",0.12
"participant11","S30-805-dep","A > C",0.1
"participant11","S30-805-dep","C",0
"participant11","S30-805-dep","C > A",0.07
"participant11","S32-806","A",0.39
"participant11","S32-806","A > C",0.68
"participant11","S32-806","C",0.66
"participant11","S32-806","C > A",0.65
"participant11","S34-806","A",0.47
"participant11","S34-806","A > C",0.51
"participant11","S34-806","C",0.53
"participant11","S34-806","C > A",0.36
"participant11","S42-806","A",0.07
"participant11","S42-806","A > C",0.12
"participant11","S42-806","C",0.04
"participant11","S42-806","C > A",0.03
"participant11","S44-806","A",0.46
"participant11","S44-806","A > C",0.59
"participant11","S44-806","C",0.26
"participant11","S44-806","C > A",0.61
"participant11","S54-806","A",0.25
"participant11","S54-806","A > C",0.29
"participant11","S54-806","C",0.27
"participant11","S54-806","C > A",0.19
"participant11","S55-1006","A",0.52
"participant11","S55-1006","A > C",0.67
"participant11","S55-1006","C",0.73
"participant11","S55-1006","C > A",0.35
"participant11","S57-1007","A",0.38
"participant11","S57-1007","A > C",0.54
"participant11","S57-1007","C",0.65
"participant11","S57-1007","C > A",0.5
"participant11","S59-1007","A",0.29
"participant11","S59-1007","A > C",0.31
"participant11","S59-1007","C",0.19
"participant11","S59-1007","C > A",0.25
"participant11","S63-1039","A",0.52
"participant11","S63-1039","A > C",0.66
"participant11","S63-1039","C",0.65
"participant11","S63-1039","C > A",0.57
"participant11","S7-130","A",0.81
"participant11","S7-130","A > C",0.85
"participant11","S7-130","C",0.84
"participant11","S7-130","C > A",0.76
"participant11","S7-130-dep","A",0.65
"participant11","S7-130-dep","A > C",0.76
"participant11","S7-130-dep","C",0.82
"participant11","S7-130-dep","C > A",0.64
"participant11","S8-202","A",0.86
"participant11","S8-202","A > C",0.58
"participant11","S8-202","C",0.57
"participant11","S8-202","C > A",0.85
"participant11","S83-1609","A",0.85
"participant11","S83-1609","A > C",0.84
"participant11","S83-1609","C",0.83
"participant11","S83-1609","C > A",0.78
"participant11","S89-1642","A",0.38
"participant11","S89-1642","A > C",0.41
"participant11","S89-1642","C",0.36
"participant11","S89-1642","C > A",0.37
"participant11","S89-1642-dep","A",0.49
"participant11","S89-1642-dep","A > C",0.6
"participant11","S89-1642-dep","C",0.59
"participant11","S89-1642-dep","C > A",0.65
"participant11","S93-1674","A",0.88
"participant11","S93-1674","A > C",0.94
"participant11","S93-1674","C",0.76
"participant11","S93-1674","C > A",0.93
"participant11","S97-1674","A",0.4
"participant11","S97-1674","A > C",0.49
"participant11","S97-1674","C",0.34
"participant11","S97-1674","C > A",0.52
"participant12","S1-121","A",1
"participant12","S1-121","A > C",1
"participant12","S1-121","C",1
"participant12","S1-121","C > A",1
"participant12","S10-203","A",1
"participant12","S10-203","A > C",0
"participant12","S10-203","C",0
"participant12","S10-203","C > A",0
"participant12","S12-203","A",1
"participant12","S12-203","A > C",0
"participant12","S12-203","C",0
"participant12","S12-203","C > A",1
"participant12","S15-443","A",1
"participant12","S15-443","A > C",0.3
"participant12","S15-443","C",0.79
"participant12","S15-443","C > A",1
"participant12","S20-468","A",1
"participant12","S20-468","A > C",0.79
"participant12","S20-468","C",1
"participant12","S20-468","C > A",1
"participant12","S22-468","A",1
"participant12","S22-468","A > C",0.81
"participant12","S22-468","C",1
"participant12","S22-468","C > A",0.87
"participant12","S30-805","A",0
"participant12","S30-805","A > C",0.86
"participant12","S30-805","C",0
"participant12","S30-805","C > A",0.73
"participant12","S30-805-dep","A",0
"participant12","S30-805-dep","A > C",0.11
"participant12","S30-805-dep","C",0
"participant12","S30-805-dep","C > A",0.67
"participant12","S32-806","A",0
"participant12","S32-806","A > C",1
"participant12","S32-806","C",0
"participant12","S32-806","C > A",0.78
"participant12","S34-806","A",0
"participant12","S34-806","A > C",0.82
"participant12","S34-806","C",0
"participant12","S34-806","C > A",0.21
"participant12","S42-806","A",0
"participant12","S42-806","A > C",1
"participant12","S42-806","C",0
"participant12","S42-806","C > A",1
"participant12","S44-806","A",0
"participant12","S44-806","A > C",0.11
"participant12","S44-806","C",0
"participant12","S44-806","C > A",1
"participant12","S54-806","A",0
"participant12","S54-806","A > C",0.88
"participant12","S54-806","C",0
"participant12","S54-806","C > A",0.1
"participant12","S55-1006","A",0
"participant12","S55-1006","A > C",1
"participant12","S55-1006","C",0.73
"participant12","S55-1006","C > A",0
"participant12","S57-1007","A",0
"participant12","S57-1007","A > C",1
"participant12","S57-1007","C",0.84
"participant12","S57-1007","C > A",0
"participant12","S59-1007","A",0
"participant12","S59-1007","A > C",1
"participant12","S59-1007","C",1
"participant12","S59-1007","C > A",0.07
"participant12","S63-1039","A",0
"participant12","S63-1039","A > C",0.75
"participant12","S63-1039","C",0
"participant12","S63-1039","C > A",0.16
"participant12","S7-130","A",1
"participant12","S7-130","A > C",0
"participant12","S7-130","C",1
"participant12","S7-130","C > A",0
"participant12","S7-130-dep","A",1
"participant12","S7-130-dep","A > C",1
"participant12","S7-130-dep","C",1
"participant12","S7-130-dep","C > A",1
"participant12","S8-202","A",1
"participant12","S8-202","A > C",0
"participant12","S8-202","C",0
"participant12","S8-202","C > A",1
"participant12","S83-1609","A",0
"participant12","S83-1609","A > C",1
"participant12","S83-1609","C",0
"participant12","S83-1609","C > A",1
"participant12","S89-1642","A",0.54
"participant12","S89-1642","A > C",0.79
"participant12","S89-1642","C",0.52
"participant12","S89-1642","C > A",0.88
"participant12","S89-1642-dep","A",0
"participant12","S89-1642-dep","A > C",1
"participant12","S89-1642-dep","C",0
"participant12","S89-1642-dep","C > A",1
"participant12","S93-1674","A",0
"participant12","S93-1674","A > C",1
"participant12","S93-1674","C",0
"participant12","S93-1674","C > A",1
"participant12","S97-1674","A",1
"participant12","S97-1674","A > C",0.7
"participant12","S97-1674","C",0.79
"participant12","S97-1674","C > A",1
"participant13","S1-121","A",1
"participant13","S1-121","A > C",1
"participant13","S1-121","C",1
"participant13","S1-121","C > A",1
"participant13","S10-203","A",1
"participant13","S10-203","A > C",0.52
"participant13","S10-203","C",0.48
"participant13","S10-203","C > A",1
"participant13","S12-203","A",1
"participant13","S12-203","A > C",0.61
"participant13","S12-203","C",0.56
"participant13","S12-203","C > A",0.55
"participant13","S15-443","A",1
"participant13","S15-443","A > C",1
"participant13","S15-443","C",0.82
"participant13","S15-443","C > A",1
